model,bin_left,bin_right,count
xgb_coarse_simple_cisc,3350.4700122524346,3490.0729294296193,0
xgb_coarse_simple_cisc,3490.0729294296193,3629.675846606804,0
xgb_coarse_simple_cisc,3629.675846606804,3769.278763783989,0
xgb_coarse_simple_cisc,3769.278763783989,3908.8816809611735,0
xgb_coarse_simple_cisc,3908.8816809611735,4048.4845981383583,0
xgb_coarse_simple_cisc,4048.4845981383583,4188.087515315543,0
xgb_coarse_simple_cisc,4188.087515315543,4327.690432492727,0
xgb_coarse_simple_cisc,4327.690432492727,4467.2933496699125,0
xgb_coarse_simple_cisc,4467.2933496699125,4606.896266847098,0
xgb_coarse_simple_cisc,4606.896266847098,4746.499184024282,0
xgb_coarse_simple_cisc,4746.499184024282,4886.102101201467,0
xgb_coarse_simple_cisc,4886.102101201467,5025.705018378651,0
xgb_coarse_simple_cisc,5025.705018378651,5165.307935555837,0
xgb_coarse_simple_cisc,5165.307935555837,5304.910852733021,0
xgb_coarse_simple_cisc,5304.910852733021,5444.513769910206,0
xgb_coarse_simple_cisc,5444.513769910206,5584.11668708739,0
xgb_coarse_simple_cisc,5584.11668708739,5723.7196042645755,0
xgb_coarse_simple_cisc,5723.7196042645755,5863.32252144176,2
xgb_coarse_simple_cisc,5863.32252144176,6002.925438618945,0
xgb_coarse_simple_cisc,6002.925438618945,6142.528355796129,0
xgb_coarse_simple_cisc,6142.528355796129,6282.1312729733145,1
xgb_coarse_simple_cisc,6282.1312729733145,6421.734190150499,0
xgb_coarse_simple_cisc,6421.734190150499,6561.337107327684,0
xgb_coarse_simple_cisc,6561.337107327684,6700.940024504869,0
xgb_coarse_simple_cisc,6700.940024504869,6840.542941682053,0
xgb_coarse_simple_cisc,6840.542941682053,6980.145858859239,2
xgb_coarse_full_greedy,0.0,139.60291717718476,21
xgb_coarse_full_greedy,139.60291717718476,279.20583435436953,0
xgb_coarse_full_greedy,279.20583435436953,418.8087515315543,0
