trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
23,5cbe924a-c256-4b7d-9db0-3437ee3cc0d0,shortest_path,dijkstra,"(9, 57)","(9, 62)",10,6,True,625.4167593141468,,0.40399981662631035,"[[9, 57], [9, 58], [9, 59], [9, 60], [9, 61], [9, 62]]","[[9, 57], [9, 58], [9, 59], [9, 60], [9, 61], [10, 61], [10, 62], [9, 62], [9, 63], [9, 62]]"
24,72ea440c-22fe-4853-bc29-ad4176eb62d6,shortest_path,dijkstra,"(20, 18)","(20, 18)",5,1,True,,,0.0075998250395059586,"[[20, 18]]","[[20, 18], [20, 19], [19, 19], [20, 19], [20, 18]]"
25,ac7cbf1c-381a-4617-8b1e-de9f30e7bdcf,shortest_path,dijkstra,"(20, 18)","(20, 18)",5,1,True,,,0.007300172001123428,"[[20, 18]]","[[20, 18], [20, 19], [19, 19], [20, 19], [20, 18]]"
26,3419271f-fefd-4710-b5fe-759bc947c1cd,shortest_path,dijkstra,"(19, 20)","(21, 15)",8,8,True,849.2570759475345,,0.27299998328089714,"[[19, 20], [20, 20], [20, 19], [21, 19], [21, 18], [21, 17], [21, 16], [21, 15]]","[[19, 20], [19, 19], [19, 18], [20, 18], [20, 17], [20, 16], [20, 15], [21, 15]]"
27,d3942eed-1a0e-43ba-8cd4-a5f69194015b,shortest_path,dijkstra,"(21, 17)","(16, 50)",57,45,True,16430.493539593786,,4.5871001202613115,"[[21, 17], [21, 16], [21, 15], [21, 14], [20, 14], [20, 13], [20, 12], [21, 12], [21, 11], [21, 10], [22, 10], [23, 10], [23, 9], [24, 9], [24, 8], [24, 7], [24, 6], [24, 5], [24, 4], [24, 3], [24, 2], [24, 1], [24, 0], [24, 63], [24, 62], [24, 61], [24, 60], [24, 59], [24, 58], [23, 58], [23, 57], [22, 57], [22, 56], [21, 56], [21, 55], [20, 55], [20, 54], [19, 54], [19, 53], [18, 53], [18, 52], [17, 52], [17, 51], [16, 51], [16, 50]]","[[21, 17], [21, 18], [21, 19], [20, 19], [20, 20], [20, 21], [19, 21], [19, 22], [18, 22], [18, 23], [17, 23], [17, 24], [16, 24], [16, 25], [15, 25], [15, 26], [15, 27], [14, 27], [14, 28], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [9, 35], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [11, 39], [11, 40], [11, 41], [12, 41], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [15, 45], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [17, 49], [16, 49], [17, 49], [16, 49], [16, 50]]"
28,7c57190d-73b7-42a8-8663-13e8841a6b43,shortest_path,dijkstra,"(21, 53)","(14, 50)",11,11,True,624.3494368675101,,0.7698999252170324,"[[21, 53], [20, 53], [20, 52], [19, 52], [19, 51], [18, 51], [18, 50], [17, 50], [16, 50], [15, 50], [14, 50]]","[[21, 53], [20, 53], [20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [16, 51], [16, 50], [15, 50], [14, 50]]"
29,5549eda9-092b-43ab-b238-cb51877264fb,shortest_path,dijkstra,"(19, 52)","(18, 54)",4,4,True,0.0,,0.1713000237941742,"[[19, 52], [19, 53], [18, 53], [18, 54]]","[[19, 52], [19, 53], [18, 53], [18, 54]]"
30,a420cd15-21e4-4943-873f-1c9cd31fecd0,shortest_path,dijkstra,"(19, 51)","(17, 50)",6,4,True,617.5772408874416,,0.17160014249384403,"[[19, 51], [18, 51], [18, 50], [17, 50]]","[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]"
31,127b9696-4005-40e5-9f71-ec484d09893c,shortest_path,dijkstra,"(22, 56)","(20, 53)",6,6,True,532.3904187169652,,0.25340006686747074,"[[22, 56], [22, 55], [21, 55], [21, 54], [20, 54], [20, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [20, 54], [20, 53]]"
32,dc9c908b-7eec-40aa-beb0-7e6f2d2a7076,shortest_path,dijkstra,"(19, 48)","(16, 50)",6,6,True,624.2393592495351,,0.2544999588280916,"[[19, 48], [18, 48], [18, 49], [17, 49], [17, 50], [16, 50]]","[[19, 48], [18, 48], [17, 48], [17, 49], [16, 49], [16, 50]]"
33,9db2988a-18db-42ba-bb59-bdfc5fc13167,shortest_path,dijkstra,"(17, 18)","(22, 53)",41,41,True,1547.2222305228922,,3.5512999165803194,"[[17, 18], [18, 18], [18, 17], [19, 17], [19, 16], [20, 16], [20, 15], [20, 14], [20, 13], [20, 12], [21, 12], [21, 11], [21, 10], [22, 10], [23, 10], [23, 9], [24, 9], [24, 8], [25, 8], [25, 7], [25, 6], [25, 5], [25, 4], [25, 3], [25, 2], [25, 1], [25, 0], [25, 63], [25, 62], [25, 61], [25, 60], [25, 59], [25, 58], [25, 57], [24, 57], [24, 56], [23, 56], [23, 55], [23, 54], [22, 54], [22, 53]]","[[17, 18], [17, 17], [17, 16], [18, 16], [18, 15], [18, 14], [19, 14], [19, 13], [19, 12], [20, 12], [20, 11], [21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [22, 6], [23, 6], [23, 5], [23, 4], [23, 3], [24, 3], [24, 2], [24, 1], [24, 0], [24, 63], [24, 62], [24, 61], [24, 60], [23, 60], [23, 59], [23, 58], [23, 57], [23, 56], [22, 56], [22, 55], [22, 54], [21, 54], [21, 53], [22, 53]]"
